# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1260
#@/user_id	Terry_rime
a 	啊	c=6 d=3.04397 t=1260
miao xing ren 	喵星人	c=11 d=7.54188 t=1260
ming 	明	c=0 d=0.0718924 t=1260
ming ling 	命令	c=2 d=1.83173 t=1260
ming tian 	明天	c=0 d=0.0980199 t=1260
ming yue 	明月	c=1 d=0.918512 t=1260
ming zhu 	明珠	c=0 d=0.197521 t=1260
mo ban 	模板	c=2 d=1.86181 t=1260
mo shi 	模式	c=1 d=0.965605 t=1260
mo xing 	模型	c=7 d=5.17039 t=1260
mo xing wen jian 	模型文件	c=1 d=0.344728 t=1260
mou xie ren 	某些人	c=1 d=0.918512 t=1260
mu 	牧	c=0 d=0.0932394 t=1260
mu ban 	模板	c=3 d=2.80011 t=1260
mu lu 	目錄	c=1 d=0.852144 t=1260
